target,n_repeats,prevalence_mean,prevalence_sd,prevalence_min,prevalence_max,roc_auc_mean,roc_auc_sd,roc_auc_min,roc_auc_max,average_precision_mean,average_precision_sd,average_precision_min,average_precision_max,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_min,balanced_accuracy_max,precision_mean,precision_sd,precision_min,precision_max,sensitivity_mean,sensitivity_sd,sensitivity_min,sensitivity_max,specificity_mean,specificity_sd,specificity_min,specificity_max,brier_score_mean,brier_score_sd,brier_score_min,brier_score_max
independent_fusion_rationale,5,0.17368333333333333,0.0,0.17368333333333333,0.17368333333333333,0.950043135197209,0.000665392308852433,0.9491653335904552,0.9508873833889002,0.780162663126229,0.0036541639912295487,0.7770899057367436,0.7858892421238535,0.9347720604728161,0.0008749782127082429,0.9334726900647391,0.9355181065024274,0.7313294527871287,0.0020225640233830894,0.7288072575847709,0.7333731432410241,0.9423087995393917,0.0015641787492159936,0.94050475002399,0.9445350734094616,0.9272353214062405,0.0007353832599650212,0.9264406301054882,0.9279533673531132,0.059236622714322895,0.0005001750908449891,0.05852220583698706,0.05970486873920863
support_decompression_consult,5,0.6156666666666667,0.0,0.6156666666666667,0.6156666666666667,0.8622661550973874,0.0007309770605042306,0.8616294842530796,0.8634729074737825,0.8537599298601986,0.0006749753806591065,0.8532144121067082,0.8548858574167887,0.8373321403029971,0.0007794257087819625,0.8363949697383206,0.8384589106546749,0.8531481299365297,0.00044756218576443105,0.8525895426133545,0.8538187044654805,0.931515971846237,0.0009128964839983681,0.9305089334055224,0.9327287493232268,0.7431483087597572,0.000683602895508873,0.7422810060711188,0.7441890719861232,0.10945122125770076,0.00040274672056811076,0.1088749939095815,0.1099404555549561
support_expedited_review,5,0.09956666666666666,0.0,0.09956666666666666,0.09956666666666666,0.9541178439906262,0.0011297412136857545,0.952293270840308,0.9551389353866756,0.9173723546479188,0.0020345132936862628,0.914086541680616,0.9192112041066846,0.9541178439906262,0.0011297412136857545,0.952293270840308,0.9551389353866756,1.0,0.0,1.0,1.0,0.9082356879812521,0.0022594824273715307,0.904586541680616,0.9102778707733512,1.0,0.0,1.0,1.0,0.01376932375197199,0.00012743224908850302,0.013654408167062032,0.01397534574096687
support_injection,5,0.2081,0.0,0.2081,0.2081,0.962337416340447,0.0008604618048053103,0.9609273056362335,0.9630950877636065,0.7772335928913748,0.003939064661037351,0.7707883202666831,0.7807165634965297,0.962337416340447,0.0008604618048053103,0.9609273056362335,0.9630950877636065,0.7772335928913748,0.003939064661037351,0.7707883202666831,0.7807165634965297,1.0,0.0,1.0,1.0,0.9246748326808941,0.0017209236096106186,0.921854611272467,0.926190175527213,0.05257911263315214,0.0012088521837625597,0.05151538496803944,0.05456065219534243
support_nonoperative,5,0.4003,0.0,0.4003,0.4003,0.8593200527642362,0.0009983770109045207,0.858237706278311,0.8605904841281773,0.8200532830867516,0.0008351374875846824,0.8192940257483267,0.8214010309218003,0.8509170127573572,0.0010872261654228824,0.8495345599354761,0.8523102906548063,0.950980167105247,0.001978906149492424,0.9483206933911159,0.9537473938329858,0.7268465317678409,0.0027051183373962805,0.7237488550253977,0.7298276292780415,0.9749874937468735,0.0011172114525174795,0.9734867433716858,0.9765716191429048,0.10832740056665591,0.0004965170688439344,0.10773823666158211,0.10899754646751768
